label,title,text
0,Disappointed,"The concept of this harness is quite brilliant. It really does decrease the amount of pulling but the harness doesn't sit straight. If the dog pulls at all the harness shifts, it gets under the dogs front legs and begins to chaffe (spelling?) him. I've tried adjusting it quite often but it never seems to work. I gave it an honest weeks trial before I threw it with the other piece of crap harnesses I've tried. The best ones are the simple attach in the back ones in my opinion."
1,Great movie,Excellent film! Great cast! This movie tells the story of the first Black Army Corp fighter pilots and the struggles they had to get the right to fight for their country. The abilities of this outstanding group of men made them sought after as escorts by some of the very men who rejected them because of the color of their skin.
1,"Wilton 24408 6"" Copper Caps(1pr) Wilton Vise Jaw Caps","Wilton 24408 6"" Copper Caps(1pr) Wilton Vise Jaw CapsThese are nice soft copper jaws, designed to serve a purpose. These are not designed with teeth to grip parts, instead designed not to leave teeth marks in everything your trying to hold.Good quality made by Wilton.RagenRat :0)"
0,Don't like this book,I don't like this book at all. Too many lines but not enough substance. Better off using chess opening database.
1,When fine sanding's a must...,"This is the best in the biz. The missus and I used to run a little taxidermy shop down in Coos Bay. When customers couldn't pay, which happens more often than you'd think even when a loved pet is involved, we'd fashion lamps or tables or knick knacks out of them. The problem is no one wants a curio table that's a gonna shed all over the place. So we'd fine sand the hair down to bristle length. Took us FOREVER to fine a sander with variable speed that went low enough so as not to pull the hairs out by the follicle. But this little beauty here did the trick. First attracted to it by its name, we've come to find it irreplaceable. Whether it's a barking dog umbrella holder or moose knuckle pendulum klick klack balls, this is definitely the sander of choice for the artisan who works in organics."
0,"Way, way diluted -- not resemble photo","Take the citra-solv in the photo (the orange citra-solv we fell in love with), fill a bottle one-third with it, then add 2/3 water and voila -- the current citra-solve. WAY WAY more diluted. Not even orange as in the photo but a pale yellow. Shame on you, Citra-solve."
0,Over the edge of tolerance,"Pretty bad. If I hadn't been busy laughing at it, I would have been busy barfing because of it."
1,"Good Access Point, working fine for me","I'm Not sure why so many other reviewers are having problems with their WAP51AB, but it's working fine for me. Setup was simple, it came with good documentation/setup instructions. The default IP address wasn't appropriate for my network, but that was easy to change and I had this access point up and running in 10 minutes. I was able to setup two separate SSID's (one for 802.11a and one for 802.11b) and configure WEP for both a & b. It was also easy to add MAC address filtering.I have had this access point for about 1 week and haven't had any problems staying connected to 802.11a as others have complained about. The range on the 'a' channel is not nearly as good as 'b', but the extra speed is great! When i'm sitting close to the AP (< 20ft), I use 'a' and when I'm farther away, i switch to 'b'.My only complaint is that the range of the 'a' channel isn't that great, but other than that, this AP works fine."
0,Different,"Size chart doesn't seem to include socks! My pair fits good barefoot, but not with socks. If you need to wear socks with them, go up a size. The sole is rounded slightly so is not that great for balance postures. I use, but probably won't purchase another pair."
1,Great Product,"I don't know how this product has received such negative ratings because my household has used it for a long time with no problems. We live in Hawaii where it can be quite dusty. You can clean a table and find a layer of dust the next day. What we do is we run the device while we are away. Of course, you have have to allow the ionized air to dissipate afterwards. That means if you run it for two hours you will allow it to sit for several hours before entering the premises. I think that some users were not giving it enough time to settle. Also, some users may have used it while IN the room which is not a good idea. Ours has lasted for a years with no problems. We like it so much that we got a second one for the living room (the first one was used exclusively in the bedroom where the dust seemed especially be a problem). Both units were bought used, by the way."
0,HORRIBLE STOMACH PAIN!!,I have Celiac Disease and heard so much good stuff about Hemp Seeds. I purchased this 3lb. bag and was excited to try it. The first time I became very nauseous and I did not connect it to the Hemp Seeds. The next time I sprinkled it on my salad. Approximately two hours later I got horrible stomach cramps and uncontrollable vomiting. It was so awful! I was in pain the whole night. I was afraid to eat anything the next day. I just had Gatorade and a banana. I don't think I could ever try Hemp Seeds again. I don't know if this was a bad batch or if they share equipment with a wheat facility. I will never buy this again.
1,Fast Memory,"Memory, is really fast on my Hp laptop, it was very easy to install.The package it came in was strong and secure, Increased performance with Windows apps."
0,I'm sorry I bought it,"I haven't made it past the fifth chapter in the book and I honestly dread picking it up again. Reading the the reviews and description before buying, I did not realize this book is a pastiche, not a genre I typically choose. Maybe I just don't ""get"" it. I think Austin Powers is funny, but film makes it easier to pick up the tone. I feel like The Vesuvius Club misses, it just seems like bad writing, not deliberate humor."
1,"Lionel Magic ""review"".","Very Satisfied with DVD. Quite a bit of model train film bang for the buck. The human stories relating to the hobby and the train info/action both have appeal. Most movies I see I don't watch more than once, but i've enjoyed watching this DVD a second and third time."
1,So realistic you forget you're reading fiction,"Daniel Defoe put a lot of research into his 'Journal of the Plague Year,' yet it doesn't read like a history report. Rather, this is a novel so realistic you can quite literally feel what it must have been like to have lived in London at the time of the plague. The facts as he knew them, both from reading and interviews with those who lived through it, are revealed to us throughout the narrative. You get every detail of the plague, from the symptoms to the hysteria to the steps the government took to help insure the safety of the people. 'Journal of the Plague Year' is a fascinating and imminently readable book."
0,Hal Hartley-no thanks,"I dont feel like wasting my time writing a review here, but I want to warn you to skip films from someone who can make even the bubbliest of people, Parker Posey, dull. Skip it, this and Henry Fool, but not Amateur"
1,Just more CHOBITS!,"If you're into anything CLAMP, or Sci-Fi, then I strongly recommend this book! But, read the first 2 book before this one, okay?If you watched ""Carrie"" (The movie) when you were little, then you could totally buy this! Even if your 10 (I'm almost 11, BTW)"
0,Quirky for OS 9.3 and OS 10.1,"I am not happy with the performance of this drive with my Apple Power mac G-3. It is slow and error prone. I bought another that is much better. Pass on this item if you are an Apple owner, it's an annoyance for a Mac. Works fine with windows but I don't really need it for that :("
1,Super mask,"This mask is very comfortable, breathes easily, soft seal. I also purchased replacement filter cartridges and they appear to be of very good quality as well."
0,Obsolete!,"I'm sorry, my friends, but this is NOT Bach! Funereal tempos, thick textures, a million players to a part - this set should be of interest to no one except historians of outdated performance practice. Get the Gardiner version for music."
0,It does not have all the levels,"This game does not have all of the original Donkey Kong arcade game levels. I don't think it is too much to ask to expect all of the levels from the 80's vintage 8-bit arcade game.As it stands, you just start repeating the same levels over and over again . . . and that gets boring quick. Had I known it was an incomplete adaptation, I would not have bought it."
1,*JACK SKELLINGTON,I loved it a lot because it had a very good material on it and no holes or had rips on it.And it came earlier than expected.
0,An okay gift...,"I just received this hat in the mail. It's made of sturdy material and was stitched well, but the lines on the hat aren't where they should be. Kind of defeats its purpose..."
1,Clears up the sometimes obscure nuances of pointers in C,"Great book. It taught me more about pointers in the C language than any other C book I've used. However, it's not just about pointers. It's a good book for learning C in general."
1,Wonderfully accurate sound! Awesome response!,"I Purchased these as rear speakers to complete surround sound set.I had no idea that they would sound sooo nice!They have a wonderful range of response and the resolution is great! After plugging them in, I ended up routing all power just to them and listening to a full symphony from my rear speakers!Solid as tanks and outstanding performers!"
0,This is why people steal content,"While I don't condone people stealing their content, decisions by backward thinking organizations like MLB all but assure that people are going to. Putting out non-HD content in this day and age is like putting out black and white videos in 1980. Whoever wants to buy this content wants it in BluRay HD, not DVD. So these people are going to steal it off the internet to get it in the format that they want because MLB won't provide it. I truly believe most of these people would pay for it if MLB offered it. But since they don't, MLB loses money. Again, I don't condone stealing your content, but I also don't condone paying for this content since it is in a near-defunct format. Save your money until MLB gets their act together and puts it out in a modern format."
1,GOOD CONDITION,ITEM ARRIVED IN GOOD CONDITION AS PROMISED BUT A LITTLE BIT LATE AND EMAILS TO SELLER WHERE NOT RETURNED. OTHERWISE GOOD TRANSACTION.
1,"Sweet, sweet book.","I ordered this book before my daughter attended preschool but it only arrived a couple of weeks after she started since we have been relocated to China. I am sure there were other books I was reading and the Berenstain bears going to school dvd definitely helped but amongst it all, I highly believe that this book eased my daughter's fears the most about school. She related really well to the character (I named the character in the book after her) and this is definitely one of the books we have to read before bedtime on school nights. It is simple, sweet and straight to the point and I so wish this author has more books in this series about school. :) Excellent!"
1,Perfect addition to my collection,"Bought two of these jars to add to my candy bar collection of apothecary jars and containers. I did notice a small chip around the rim of one but with the lid on it's almost unnoticeable and on the outside so no one will get cut or scratched.Great size, good sturdy quality. good purchase."
0,Lacks depth,"While it has a few interesting advises, most of them are common sense, even for us who are first time parents. For instance, everyone knows that you have to remove the plastic in which a new mattress is packed.It also lacks depth in the topics it covers. For example, it only spends a few seconds on breastfeeding, while we were expecting to learn breastfeeding positions, how to know when your baby has had enough milk, and how to burp the baby.It wasn't worth the money for us."
1,Dyspraxia Developmental Co-ordination Disorder,This is an outstanding book. It is extremely helpful and I would highly recommend it to anyone who has a child that has been diagnosed with developmental dyspraxia. I only wish I had discovered it 10 years ago. Now we are playing catch-up but it provides very helpful information for our family and is teaching us how to make our child's life easier.
1,DON'T BE AFRAID OF THE DARK-BE AFRAID OF WHAT'S IN THE DARK!,"PITCH BLACK is an incredible movie. Lots of suspense. Richard B. Riddick is very intriguing to figure out. Very intense characters. The added footage on the unrated version really explains and adds a lot to some of the scenes of the movie that you see in the rated version. As David Twohy says, ""Sometimes the less you see is scarier."" Not knowing what's out there makes it a lot more bone chilling. I highly recommend seeing this movie to everyone. Especially fans of Vin Diesel(like me)! Would I be afraid of the dark?----not if I was with Riddick(in which case, he might need to be afraid of the dark!!!) Keep up the great work, Vin! Can't wait for the sequel!!!!"
0,sucky,"This product really sucks. First of all, it does not do what it claims to do. Second of all, it broke after several uses. I learned my lesson. One should never stray from trusted brands when it comes to these made-in-China stuff."
1,I've about worn mine out!,I enjoy listening to George Winston. Adam Zampino has similar qualities. No regrets buying this CD!!
1,SD32,I am using this to supplement the 16GB SSD on HP Mini 1000 including installing most apps on SD. This 32GB SD seems to be working well and I would use this vendor and this PNY SD Card again for similar applications.
0,Not as advertised ...,"This roll is only 40ft, not 50ft as advertised. Other than that, the product is as described."
0,"If you loved this at the theater, HOLD OFF on buying the DVD!","It's now well documented-that Magnolia/Magnet did NOT use the original theatrical subtitles, but simplified, inferior ones of their own devising:http://iconsoffright.com/news/2009/03/let_the_wrong_subtitles_in_to.htmlMagnolia/Magnet has promised to re-release with the original subtitles, but until Amazon changes ""English"" to ""English (theatrical)"" in the subtitles available, better steer clear of this as a vampire would a roomful of cats.By the way, if you're one of those who pre-ordered to get this DVD as soon as possible, you'll either need to pony up for the re-release or learn Swedish -- Magnolia/Magnet has refused to exchange the first release for the new one."
1,A Wonderful Read!,"This is one to have on your bookshelf to refresh yourself with the sciences once in a while. Although I have seen much of the information before from various sources, I have not found a book that presents such a wide breadth of science so succinctly and entertainingly. Read and enjoy! (If you like this, a wonderful companion book is ""The Discoverers"" by Daniel Boorstin.)"
1,Hpuses By Mail,"Excellent background material on my research of ""Sears' Houses!"" This educator and historian simply did not realize how many households in the 20th century had Sears to thank for ""complete"" homes!!!"
0,"Not good for thick, longer hair because of clips","If you have medium long to long hair that is thick, this set of hot rollers might drive you insane. The concept is great, but the clips are completely inadequate. They burn your fingers as you try to secure them and just do not seem big or round enough to cover the entire roller around your hair. Several just slipped right out as I tried to secure them, even with small amounts of hair and they hung down instead of more secured to the scalp like they should for optimum curls. I would hesitate to buy them. As far as when you do get one to hold right, the curl comes out nice and if you give yourself some spray, it will turn out ok. Otherwise, I recommend something different."
1,"Very simple need, this works fine on Apple OSX and Vista",It does what I needed. It lets me read 4GIG SDHC cards. It was fairly inexpensive and it just works.
1,This DVD is great!!!,My 3 year old LOVES this DVD. It's great becuase he gets to see the actual construction vehicles in action! We've watched it about 15 times in 3 days!
1,Best cream ever!,This is the best cream for dry hands and feet. It works wonders on dry cracked heels! I love this stuff and I couldn't live without it.
0,What a snore!,"This is an extremely tedious novel. it is about a girl who helps out a midwife but then goes and runs away to an inn. It is an elementary book. This is not interesting because all the girl wants to do is make a name for herself. You cannot relate to her at all because she doesn't do anything except chores and, well, midwifing. She doesn't think about anything else throughout the whole book and when you're done you can't believe you wasted your time on such a boring book! Sorry, Amazon, but this book is not worth your money. If you're just DYING to read it get it at a library."
0,Isnt worth a penny,Wow this is crap. Cant believe I wasted my money on this. His lyrics are really bad. His rap is bad. The beats are bad. This whole cd is bad. I suggest you dont buy this cd. It isnt worth it. Im glad this album didnt win any Grammys.
0,Does not work with Win 7 64-bit,"If you have a computer that is more than 2 years old do not purchase this. It does not wok with that machine. I know it has been stated before, but this software is made ONLY for older machines. Do not listen to the product description when it states that is work with Win 7."
1,"Simply, Awesome!","This movie is AWESOME! This is a period piece film, about Japan invading China. Also, about the man who inspired and trained Bruce Lee. Donnie Y is a great fighter/actor. Very cool and he kicks azz big time. Every night I do the Ip Man moves on my man. All that's missing is him sliding down the pole after I punch him in rapid succession! Just kidding. My whole family LOVED this pic. Part II is good also, but not as good as Part I. Do youself a favor, see this pic."
1,"Not his best, but still Groucho",The humor is toned-down. It was 1942 after all and Simon and Shuster weren't about to publish Groucho's dirty jokes. But it was a fun read and only took a couple hours to get through. There are funny pictures throughout and it's interesting to read how the tone of the book CLEARLY changed between first and final draft. I think that Pearl Harbor made it a wee-bit difficult to really let it rip in the Government's directions.
1,Great Workout in Less Than an Hour,"This is a great workout for women on the go or with packed schedules. Although there isn't a solid block of cardio time as is common with Tai-Bo style workouts, the cardio-strength intervals on this DVD had my heart rate going and muscles burning within the first 15 minutes. I felt stronger even after my first workout and I now look forward to mastering the harder moves (maintaining a single handed plank position while pumping a 5 Ib weight). The instructor is okay, not one of my faves, but not as bad as some of the other reviewers may claim. Lower the volume, put on your favorite tunes, count your reps (about 6 per set) and it's no big deal. And ladies, don't hate on a women who's put time and effort into her ""jacked"" look. Every woman has her own health and image ideal."
1,Read the Book in One Day,"Just briefly want to say, I have NEVER read a complete book in one day. Usually because there are always places that you can stop and do errands, chores, etc. However, this book does NOT allow for any such nonsense. Between the suspense and the moments of humor, Ms. Scottoline certainly has a winner in this book."
1,We all know life is not fair,"This book is one of the sadest ones out there. It is about humanity, and selflesness. Usually selflesness is a good thing, but where do we draw the line? Is there a time when it is OK to be selfish, and give up selflessness? The book strongly and unbiasly relays the burden selfless decisions incurr on it's loyals. The little girl with the ability to save her sister, is suffering from her constant giving; and to live a normal life, she must quit giving, and may result in her sister's death.Then fate brings a twist to the story, and the book ends unexpectedly, leaving the above questions left un-answered. The ending higlights how unfair and sneaky life is. It's a good book to read if you are feeling sorry for yourself, and you think your life is miserable, and are looking for a story worse than yours, so you can feel better... Therapy for those who need help to appreciate their blessings."
1,Practical and Useful Expressions,This book has been very useful for me as an ESL student. It contains lots of idioms and everyday expressions. Highly Recommended!
0,A complete waste of money.,We have purchased two of these pumps and we lucky if they worked for a month or two being used at the most 2 to 3 hours a day. Last summer we stored our brand new pump carefully knowing how sensitive these pumps are. We set up our pool this spring and plugged in our carefully-stored pump- nothing. There is no reason why this should not work other than shoddy workmanship. Don't waste your money.
1,Very comfortable,"Although the suit isn't very attractive or flattering, I wanted a cheap, simple suit with shoulder straps rather than a halter strap (very uncomfortable). The suit is pretty much just very basic but very comfy. So if you're after style this isn't for you. Practicality & comfort are it's top points."
0,PumpkinHead 4 should have stopped at 1,"Silly plot. Horrible tie to first movie. Goes on and on with same premise of kill the one who calls the monster, but takes for ever to do it. Do not waste your money."
1,Greatness,"This book was a great read. It inspired me to just keep reading and reading. It is one of those books that are called a ""have to turn the page"", and ""cant put 'em down"" I would recomend this book to anyone and had my best friend read it just because. If you like great reads about reality and ""what happens to bad kids"" kind of gutsy stuff then you will like this book."
1,Mass murder stumps Peter,"This book begins with a mass murder in a trendy restaurant. The police think they have found the man who did it and they are ready to close the case. Peter Decker thinks otherwise and he spends the rest of the book trying to find out what was really behind the murders. He looks into the family lives of some of the deceased and finds multiple motives for the murders. Several family members stand to gain financially and personally from the deaths of their relatives. Peter is accused of sexual harrassment when he interviews one of the suspects, and Rina stands by him when he is forced to defend himself. This is another good entry in the series."
1,Great Shimano Sora Cassette Gears,"I ordered this 12-13-14-15-16-17-19-21T 8 speed Shimano Sora, and it is great so far for my biking level of my road bike. I use the gears 12-14T at the most with a cadence of about 90-100 RPM and I can go for about 36-40 MPH speed on the flat and downhill. For the uphill with a grade of about 5 to 8 degrees, I use 15-19T gears. I rarely use 21T gear, only when there is a big uphill like around 10 degrees. I am very happy with this compact gears. I have a triple Sora Shimano crankset of 30-42-52T in the front of my road racing bike. Most of the time I use 42-52T front gears with 80-100 RPM cadence. I rarely use 30T front gear only for big uphill. This compact cassette gears are smooth in changing gears. It is compatible for both 8 speed of any bike such as road bikes and mountain bikes. I use this for my 24 speed road bike, 3 front gears of 30-42-52T x multiply by back 12-13-14-15-16-17-19-21T = 24 speeds."
0,Good for a Beginner,I ordered this tripod and when it came I was so disappointed that I sent it back immediately. The neoprene made my hands itch. It wasn't level when I put my camera on it. It angered me so much that I bought a carbon fiber tripod and magnesium head from the good people at Slik in the same hour. Although it was of poor quality for my use I would still say it would be good for someone who is just starting out in photography. I give it a low rating partly because I was being cheap and I should have went for the carbon fiber in the first place.
0,Not Worth the Time Suck,"As a fan of all of the Sookie books and someone who liked last season, I'm not feelin this season and quite frankly am bored with its reliance on shock value. It's disjointed, totally lacking the comic relief so well done in the books, and way off the book plot. On a scale of 1 to 10 with 10 being great, I'd give it a 2. It's truly not worth the time suck."
1,Great stories,I loved reading this book first in the English then looking over to sort out the French words. I am just entering college French 201 and I feel like I can separate the more common words but it was very nice to have the English right there on the next page. I didn't have to turn to the back of the book which is nice.
1,If ou have boys they will love it,"Entertaining. I am not saying I watched the whole thing but it was pretty decent. My boys loved it. My biggest complaint is that they only have one video thus far in the series. Another complaint I have is that you can't play chapters, you have to either play the whole movie or stop it manually @ some point. Since I am mean and my kids are allowed only 30 minutes - 1 hour (TOPS) of tv/day, it is kind of a pain. Otherwise, great video.Ps. Our video came w/ an Atlantix movie special feature. It was pretty dumb - the kids kind of liked the shark and octopus parts but really it was a poorly disguised commercial for that product line"
0,Horrific crimes and abrupt ending!,"I've loved Patricia Cornwell's Scarpetta novels for a few years. I was excited to pick up Blow Fly but had a tough time with all the abundance of horrific details of the crimes. The twists and turns the story was taking had me spellbound yet at times confused. But as I neared the last 5 pages of the book, I wondered how the book was going to end and tie up all the ends...and boy, was I on target and VERY unhappy with the ending! Benton knew the Dard family and associates and they didn't know who he was? And he happened to kill one twin in the wine cellar while the other twin gets away so easily? Give me a break...it all ended too quickly, too conveniently when there was so much wonderful promise...what a huge disappointment. And now after reading reviews of her next 2 books, Trace & Predator, I'm not sure I can stand more disappointment and gore through Scarpetta's eyes. I think I'll be looking for a new author who is more consistent...sorry Patricia!"
0,Bait and switch...I am STEAMED!,"Would give this a ZERO if I could! We thought we were getting Erik's story and found out we got SUCKERED into buying something other than tha. What a bummer for all the loyal fans of the Enchanted, Forbidden and Untamed books to find that THIS was the long awaited sequel that told Erik's story. It was HORRIBLE! We ALL feel CHEATED! Actually - I feel better just pretending that Erik's story hasn't been told yet than to think it was this piece of drivel! I'm sorry to say but since EL left those books, the Only series and Autumn Lover/Winter Fire behind - she hasn't written a decent thing that has to do with romance! If you want to write suspense or fiction or whatever RIDICULOUSLY descriptive book you want on jade, pearls, rubies, jems, ancient manuscripts, gold etc., etc. then STOP calling them ROMANCE novels! Move into the suspense genre of fiction and stop using the true romance fans out here to buy your books that don't have a THING to do with romance!"
0,Not what I paid for,"I was not necessarily comfortable paying this much for an 8'' toy, but I have a Bleach fan in the house, so I thought it would we a welcome addition, even with the price. It arrived in fairly good time, which is why I gave it two stars instead of one. However, the toy I paid for was the toy in the picture, and what I got was a somewhat cheap toy with loose seams and no character whatsoever. The toy is cheaply made, and I feel like the arms will come off any second. It's an expressionless toy, with no posing ability. It's essentially made of felt, which is not what was promised. I feel like I was cheated."
0,WAKE UP ALREADY.,"Evanescence sucks. Their just as bad as this other angst ridden garbage like Nirvana and Linkin Park. Amy Lee can't sing, and she's overrated. Her, Kurt Cobain, Chester Bennington, and Mike Shinoda are the worst rock vocalists ever. In fact, almost every rock band of today is just the same boring flat out garbage. A note to all these sucky bands:Quit whining about how miserable your lives are already, none of us wanna hear about it. It's a good thing we have bands like The Darkness and Jet, because hopefully that is a sign that will be saved from this angst-filled crap soon."
1,"great music, singer lacking","From the opening riff of this disk I started to get very excited, this guitar player is something special. The songs are well writen and powerful. It reminded me of dream theater in a couple of spots. The only thing that holds this back from becoming a true classic is the singer. To be fair, he fits some of the songs and even sounds strong on ""Chosen Ones"". But, there are several spots where he straines to hit notes he is not capable of, sounds out of tune in other places, and ends one song sounding like a tone deaf first day loser on american idol. You will know which one I am refering to when you here it. All of this is relevant because I just heard that this Guitar player, Magnus Karlsson, is teaming up with Tony Harnell in the new band Starbreaker! Due out March 21st. With this guy's chops and Tonys pipes LOOK OUT! Since tastes in singers vary, this disk is a must buy for power metal fans, the music is that good."
0,Disappointed,"I was not expecting this set to be of non-original recordings and was disappointed that it wasn't mentioned in any part of the ad. Some of the tracks are pretty good, but I was expecting originals."
1,Great for the price,"I am no music expert but so far I am really enjoying this system. It's pretty cool looking - but don't put it in your bedroom cause at night it really is quite bright - the blue light never goes off. My only complaint is that I use it with my laptop and plug/unplug quite a bit and I have to turn the sound down every time cause it makes a really loud pop if I don't. The sound is really good altho it's not going to rock a 2 story house or anything. My place is tiny but I wouldn't recommend it for a big space. Bass - if that's your thing probably not the best. But for ME - it's great. I'm not a techno nerd and the sound is clear, clean, melodic and no static..."
0,Sophomore Slump,"Yikes! This is pretty bad. I'm a big fan of the first album, but something is really lacking on this one. The lyrical wit is still there, and some of the piano work is nice...but the vocals are grating, and most of the songs are either irritating or uninteresting.I expected a great second album, or at least a decent one, but this just isn't it. I've come back to it a few times, hoping it would grow on me, but no luck. I'm pretty surprised...hopefully they'll improve with their next release, but I definitely wouldn't buy another Dresden Dolls album without hearing it first."
